"block" "sample_n" "sample_indicator" "genus_species" "population" "collection_location" "treatment" "shell_height" "shell_width" "wet_weight" "buoyant_weight" "treatment_date_1" "treatment_date_2" "treatment_date_3" "metabolism_measured" "metabolic_rate" "tissue_collected" "header"
"1" "07" "0001" "HS_MA_LS_07_0001" "littorina_saxatalis" "MA" NA "HS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"2" "11" "0002" "CS_NJ_LS_11_0002" "littorina_saxatalis" "NJ" NA "CS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"3" "06" "0003" "CS_NJ_LL_06_0003" "littorina_littorea" "NJ" NA "CS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"4" "12" "0004" "CS_NJ_LL_12_0004" "littorina_littorea" "NJ" NA "CS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"5" "03" "0005" "CS_NJ_LL_03_0005" "littorina_littorea" "NJ" NA "CS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"6" "08" "0006" "NT_MA_LO_08_0006" "littorina_obtusata" "MA" NA "NT" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"7" "03" "0007" "NT_MA_LO_03_0007" "littorina_obtusata" "MA" NA "NT" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"8" "05" "0008" "CS_NJ_LS_05_0008" "littorina_saxatalis" "NJ" NA "CS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"9" "10" "0009" "HS_NJ_LL_10_0009" "littorina_littorea" "NJ" NA "HS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"10" "06" "0010" "HS_MA_LO_06_0010" "littorina_obtusata" "MA" NA "HS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"11" "08" "0011" "NT_NJ_LO_08_0011" "littorina_obtusata" "NJ" NA "NT" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"12" "01" "0012" "HS_NJ_LL_01_0012" "littorina_littorea" "NJ" NA "HS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"13" "10" "0013" "NT_NJ_LO_10_0013" "littorina_obtusata" "NJ" NA "NT" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"14" "07" "0014" "HS_MA_LO_07_0014" "littorina_obtusata" "MA" NA "HS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"15" "10" "0015" "HS_MA_LO_10_0015" "littorina_obtusata" "MA" NA "HS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"16" "04" "0016" "HS_MA_LO_04_0016" "littorina_obtusata" "MA" NA "HS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"17" "04" "0017" "HS_MA_LS_04_0017" "littorina_saxatalis" "MA" NA "HS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"18" "06" "0018" "NT_MA_LO_06_0018" "littorina_obtusata" "MA" NA "NT" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"19" "12" "0019" "HS_MA_LO_12_0019" "littorina_obtusata" "MA" NA "HS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"20" "04" "0020" "HS_MA_LL_04_0020" "littorina_littorea" "MA" NA "HS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"21" "03" "0021" "NT_MA_LS_03_0021" "littorina_saxatalis" "MA" NA "NT" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"22" "11" "0022" "CS_MA_LS_11_0022" "littorina_saxatalis" "MA" NA "CS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"23" "06" "0023" "NT_MA_LS_06_0023" "littorina_saxatalis" "MA" NA "NT" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"24" "04" "0024" "CS_MA_LL_04_0024" "littorina_littorea" "MA" NA "CS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"25" "10" "0025" "NT_MA_LS_10_0025" "littorina_saxatalis" "MA" NA "NT" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"26" "06" "0026" "CS_NJ_LO_06_0026" "littorina_obtusata" "NJ" NA "CS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"27" "12" "0027" "NT_MA_LL_12_0027" "littorina_littorea" "MA" NA "NT" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"28" "11" "0028" "CS_MA_LS_11_0028" "littorina_saxatalis" "MA" NA "CS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"29" "05" "0029" "CS_MA_LO_05_0029" "littorina_obtusata" "MA" NA "CS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"30" "11" "0030" "NT_MA_LO_11_0030" "littorina_obtusata" "MA" NA "NT" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"31" "06" "0031" "HS_NJ_LS_06_0031" "littorina_saxatalis" "NJ" NA "HS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"32" "01" "0032" "CS_NJ_LO_01_0032" "littorina_obtusata" "NJ" NA "CS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"33" "05" "0033" "CS_NJ_LL_05_0033" "littorina_littorea" "NJ" NA "CS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"34" "03" "0034" "HS_NJ_LO_03_0034" "littorina_obtusata" "NJ" NA "HS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"35" "10" "0035" "CS_MA_LS_10_0035" "littorina_saxatalis" "MA" NA "CS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"36" "06" "0036" "NT_NJ_LS_06_0036" "littorina_saxatalis" "NJ" NA "NT" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"37" "12" "0037" "HS_NJ_LO_12_0037" "littorina_obtusata" "NJ" NA "HS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"38" "05" "0038" "NT_NJ_LL_05_0038" "littorina_littorea" "NJ" NA "NT" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"39" "03" "0039" "CS_NJ_LS_03_0039" "littorina_saxatalis" "NJ" NA "CS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"40" "03" "0040" "HS_NJ_LL_03_0040" "littorina_littorea" "NJ" NA "HS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"41" "04" "0041" "HS_NJ_LL_04_0041" "littorina_littorea" "NJ" NA "HS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"42" "10" "0042" "CS_MA_LS_10_0042" "littorina_saxatalis" "MA" NA "CS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"43" "06" "0043" "NT_MA_LL_06_0043" "littorina_littorea" "MA" NA "NT" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"44" "03" "0044" "CS_MA_LO_03_0044" "littorina_obtusata" "MA" NA "CS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"45" "11" "0045" "CS_MA_LS_11_0045" "littorina_saxatalis" "MA" NA "CS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"46" "06" "0046" "CS_MA_LL_06_0046" "littorina_littorea" "MA" NA "CS" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
"47" "02" "0047" "NT_MA_LL_02_0047" "littorina_littorea" "MA" NA "NT" NA NA NA NA NA NA NA FALSE NA FALSE TRUE
